airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-06-01,Delhi,Cochin,08:35:00,22:30:00,835,1.0,No info,6442
Indigo,2019-06-24,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No info,3597
Jet Airways,2019-05-24,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,4995
Indigo,2019-03-06,Delhi,Cochin,15:00:00,01:35:00,635,1.0,No info,14871
Jet Airways,2019-06-27,Mumbai,Hyderabad,08:45:00,10:15:00,90,0.0,No info,8040
Spicejet,2019-04-12,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No check-in baggage included,4319
Air India,2019-03-09,Delhi,Cochin,23:00:00,07:40:00,520,1.0,No info,10840
Spicejet,2019-03-24,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No info,3859
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,19:45:00,1475,2.0,No info,10976
Vistara,2019-03-24,Kolkata,Banglore,07:10:00,18:45:00,695,1.0,No info,16932
Indigo,2019-06-27,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No info,3597
Indigo,2019-05-09,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No info,4804
Multiple Carriers,2019-06-03,Delhi,Cochin,08:45:00,21:00:00,735,1.0,No info,7740
Jet Airways,2019-06-27,Delhi,Cochin,13:25:00,12:35:00,1390,2.0,In-flight meal not included,11150
Air India,2019-06-06,Kolkata,Banglore,09:50:00,21:05:00,675,1.0,No info,7452
Air Asia,2019-06-06,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No info,4483
Jet Airways,2019-06-09,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,In-flight meal not included,10368
Jet Airways,2019-03-27,Delhi,Cochin,16:00:00,04:25:00,745,1.0,In-flight meal not included,6540
Jet Airways,2019-06-09,Kolkata,Banglore,14:05:00,20:45:00,400,1.0,In-flight meal not included,10844
Air Asia,2019-04-24,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No info,3383
Air India,2019-06-27,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No info,8839
Air India,2019-06-12,Kolkata,Banglore,05:50:00,08:55:00,1625,2.0,No info,12723
Jet Airways,2019-03-18,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4160
Jet Airways,2019-03-15,Mumbai,Hyderabad,15:50:00,17:20:00,90,0.0,No info,5678
Jet Airways,2019-03-03,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No info,5678
Air India,2019-05-15,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No info,13039
Indigo,2019-05-18,Delhi,Cochin,05:05:00,16:10:00,665,1.0,No info,6818
Indigo,2019-03-27,Mumbai,Hyderabad,12:00:00,13:25:00,85,0.0,No info,2754
Jet Airways,2019-05-21,Kolkata,Banglore,18:55:00,19:50:00,1495,1.0,In-flight meal not included,10844
Indigo,2019-04-27,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No info,4823
Multiple Carriers,2019-05-21,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No info,7575
Multiple Carriers,2019-05-18,Delhi,Cochin,06:00:00,19:00:00,780,1.0,No info,9794
Indigo,2019-03-21,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No info,6426
Air India,2019-05-01,Kolkata,Banglore,17:30:00,13:45:00,1215,2.0,No info,15164
Air Asia,2019-03-15,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,No info,5615
Indigo,2019-03-27,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No info,3858
Air India,2019-04-24,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No info,6121
Indigo,2019-06-12,Delhi,Cochin,04:55:00,21:00:00,965,1.0,No info,5894
Indigo,2019-05-01,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No info,3943
Indigo,2019-03-03,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No info,14871
Jet Airways,2019-05-18,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,In-flight meal not included,10844
Jet Airways,2019-06-27,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No info,5678
Indigo,2019-05-21,Delhi,Cochin,08:35:00,18:10:00,575,1.0,No info,6442
Vistara,2019-06-06,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No info,4878
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,09:20:00,1655,1.0,No info,14388
Spicejet,2019-06-03,Delhi,Cochin,06:05:00,11:20:00,315,1.0,No info,5583
Indigo,2019-04-27,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No info,3943
Air India,2019-06-06,Delhi,Cochin,05:55:00,19:15:00,800,2.0,No info,10861
Multiple Carriers,2019-03-03,Delhi,Cochin,04:00:00,13:20:00,560,1.0,No info,14973
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,09:30:00,775,1.0,In-flight meal not included,11087
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,20:20:00,1525,1.0,In-flight meal not included,11087
Air India,2019-06-15,Delhi,Cochin,07:05:00,09:25:00,1580,2.0,No info,10975
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,10:05:00,910,1.0,No info,14571
Indigo,2019-06-24,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No info,6442
Multiple Carriers,2019-06-06,Delhi,Cochin,11:40:00,21:00:00,560,1.0,No info,7005
Jet Airways,2019-05-15,Kolkata,Banglore,17:00:00,21:05:00,1685,1.0,No info,14151
Multiple Carriers,2019-05-27,Delhi,Cochin,11:30:00,01:30:00,840,1.0,In-flight meal not included,6733
Jet Airways,2019-03-18,Banglore,New Delhi,05:45:00,10:45:00,300,1.0,No info,12284
Indigo,2019-03-21,Delhi,Cochin,07:35:00,12:00:00,265,1.0,No info,5073
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,No info,13067
Indigo,2019-03-12,Kolkata,Banglore,05:30:00,08:20:00,170,0.0,No info,4148
Vistara,2019-04-24,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No info,5403
Indigo,2019-03-15,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No info,4148
Indigo,2019-06-18,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No info,5000
Air India,2019-03-18,Banglore,New Delhi,08:50:00,23:25:00,875,2.0,No info,11728
Indigo,2019-03-09,Delhi,Cochin,02:35:00,08:30:00,355,1.0,No info,11532
Spicejet,2019-06-06,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No check-in baggage included,5158
Spicejet,2019-04-27,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No info,4423
Air India,2019-05-18,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No info,9863
Multiple Carriers,2019-03-03,Delhi,Cochin,08:00:00,18:50:00,650,1.0,No info,15342
Jet Airways,2019-06-12,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,No info,14714
Spicejet,2019-03-06,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No info,3849
Spicejet,2019-06-06,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3257
Air Asia,2019-03-09,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,No info,7652
Multiple Carriers,2019-03-03,Delhi,Cochin,07:00:00,13:20:00,380,1.0,No info,15603
Jet Airways,2019-06-03,Delhi,Cochin,21:25:00,19:00:00,1295,2.0,No info,13292
Indigo,2019-04-12,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No info,5780
Indigo,2019-05-09,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No info,4392
Air India,2019-05-24,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No info,3625
Jet Airways,2019-04-21,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No info,7229
Air India,2019-03-09,Delhi,Cochin,04:00:00,07:40:00,1660,1.0,No info,10315
Jet Airways,2019-04-01,Kolkata,Banglore,16:30:00,20:45:00,1695,1.0,In-flight meal not included,7064
Indigo,2019-03-09,Kolkata,Banglore,14:20:00,16:55:00,155,0.0,No info,4148
Goair,2019-05-01,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No info,5842
Vistara,2019-05-12,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No info,4668
Jet Airways,2019-03-27,Delhi,Cochin,17:35:00,19:45:00,1570,2.0,In-flight meal not included,8098
Multiple Carriers,2019-05-21,Delhi,Cochin,10:35:00,19:15:00,520,1.0,No info,7575
Indigo,2019-05-03,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No info,4591
Indigo,2019-04-09,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No info,4488
Indigo,2019-06-27,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No info,2754
Jet Airways,2019-03-24,Banglore,New Delhi,11:40:00,09:00:00,1280,1.0,In-flight meal not included,8147
Jet Airways,2019-05-21,Kolkata,Banglore,09:35:00,23:35:00,840,1.0,No info,14151
Indigo,2019-05-18,Kolkata,Banglore,09:20:00,14:15:00,295,1.0,No info,12198
Air India,2019-06-03,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No info,10441
Jet Airways,2019-06-03,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,No info,13014
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,22:05:00,1540,1.0,In-flight meal not included,9314
Multiple Carriers,2019-06-15,Delhi,Cochin,14:55:00,22:30:00,455,1.0,In-flight meal not included,6093
Vistara,2019-03-06,Mumbai,Hyderabad,21:55:00,09:25:00,690,1.0,No info,12395
Jet Airways,2019-03-21,Banglore,New Delhi,08:00:00,15:15:00,435,1.0,In-flight meal not included,7832
Jet Airways,2019-05-09,Kolkata,Banglore,08:25:00,04:40:00,1215,1.0,No info,13941
Air India,2019-05-24,Kolkata,Banglore,05:50:00,23:15:00,1045,2.0,No info,12723
Jet Airways,2019-03-09,Delhi,Cochin,20:10:00,04:25:00,495,2.0,No info,20904
Air India,2019-03-24,Kolkata,Banglore,09:25:00,05:35:00,1210,2.0,No info,12352
Jet Airways,2019-05-15,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,3502
Air India,2019-05-09,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No info,7480
Indigo,2019-06-24,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No info,3175
Indigo,2019-03-06,Delhi,Cochin,02:05:00,07:25:00,320,1.0,No info,10851
Air India,2019-03-24,Kolkata,Banglore,20:30:00,12:30:00,960,1.0,No info,12173
Air India,2019-04-09,Delhi,Cochin,05:55:00,19:15:00,2240,2.0,No info,7711
Air India,2019-03-24,Kolkata,Banglore,09:25:00,18:30:00,545,1.0,No info,10493
Jet Airways,2019-06-18,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,In-flight meal not included,4995
Multiple Carriers,2019-03-21,Delhi,Cochin,10:20:00,01:35:00,915,1.0,No info,7695
Air India,2019-06-24,Delhi,Cochin,14:25:00,19:15:00,1730,2.0,No info,13381
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,18:15:00,1690,1.0,In-flight meal not included,8529
Jet Airways,2019-04-09,Delhi,Cochin,22:50:00,04:25:00,335,1.0,No info,12242
Jet Airways,2019-03-24,Banglore,New Delhi,08:55:00,09:00:00,1445,1.0,In-flight meal not included,8147
Multiple Carriers,2019-03-27,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No info,8055
Multiple Carriers,2019-06-06,Delhi,Cochin,11:40:00,01:30:00,830,1.0,No info,6795
Multiple Carriers,2019-06-24,Delhi,Cochin,08:30:00,19:00:00,630,1.0,No info,10877
Jet Airways,2019-03-09,Delhi,Cochin,18:15:00,18:50:00,1475,1.0,In-flight meal not included,14053
Multiple Carriers,2019-06-09,Delhi,Cochin,11:40:00,01:30:00,830,1.0,No info,6795
Spicejet,2019-03-27,Kolkata,Banglore,09:00:00,11:30:00,150,0.0,No info,3847
Jet Airways,2019-05-18,Delhi,Cochin,07:05:00,19:00:00,715,1.0,No info,15554
Jet Airways,2019-03-12,Banglore,New Delhi,07:00:00,23:00:00,960,1.0,No info,13817
Multiple Carriers,2019-06-06,Delhi,Cochin,17:50:00,01:30:00,460,2.0,No info,18275
Air Asia,2019-04-06,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No info,3807
Air India,2019-03-03,Banglore,New Delhi,06:55:00,13:20:00,385,1.0,No info,10924
Jet Airways,2019-04-21,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,4544
Air Asia,2019-04-27,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No info,4409
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,19:00:00,560,2.0,No info,15129
Multiple Carriers,2019-05-27,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No info,9508
Jet Airways,2019-05-18,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,No info,15129
Multiple Carriers,2019-06-01,Delhi,Cochin,12:50:00,21:00:00,490,1.0,No info,7005
Indigo,2019-05-18,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No info,7191
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,19:40:00,1605,1.0,No info,14231
Jet Airways,2019-04-06,Delhi,Cochin,07:05:00,19:00:00,715,1.0,In-flight meal not included,5406
Jet Airways,2019-06-27,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No info,8040
Spicejet,2019-04-06,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,4319
Jet Airways,2019-05-09,Kolkata,Banglore,09:35:00,10:55:00,1520,1.0,In-flight meal not included,8066
Jet Airways,2019-05-06,Kolkata,Banglore,17:00:00,09:45:00,1005,1.0,No info,10953
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,In-flight meal not included,10844
Jet Airways,2019-03-06,Banglore,New Delhi,16:55:00,09:00:00,965,1.0,No info,17261
Jet Airways,2019-05-27,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,In-flight meal not included,13029
Indigo,2019-05-12,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No info,4804
Jet Airways,2019-03-09,Banglore,New Delhi,05:45:00,11:25:00,340,1.0,In-flight meal not included,11087
Jet Airways,2019-06-15,Delhi,Cochin,18:15:00,19:00:00,1485,1.0,In-flight meal not included,10262
Indigo,2019-05-15,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No info,4332
Jet Airways,2019-03-09,Banglore,New Delhi,08:55:00,10:45:00,1550,1.0,In-flight meal not included,11087
Indigo,2019-03-15,Banglore,New Delhi,23:30:00,02:20:00,170,0.0,No info,8033
Indigo,2019-04-03,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No info,3943
Air Asia,2019-04-21,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No info,5645
Jet Airways,2019-03-15,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No info,5678
Jet Airways,2019-06-21,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No info,5678
Air India,2019-05-21,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No info,3100
Jet Airways,2019-03-06,Delhi,Cochin,22:20:00,04:25:00,365,1.0,No info,15764
Jet Airways,2019-03-21,Banglore,New Delhi,14:05:00,21:20:00,435,1.0,In-flight meal not included,7832
Indigo,2019-05-21,Delhi,Cochin,10:35:00,01:30:00,895,1.0,No info,6794
Air India,2019-05-18,Delhi,Cochin,12:30:00,09:25:00,1255,1.0,No info,7480
Air Asia,2019-03-03,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,No info,7074
Air India,2019-05-09,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No info,3100
Indigo,2019-06-03,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No info,2754
Air India,2019-04-01,Kolkata,Banglore,12:00:00,21:50:00,590,2.0,No info,9258
Jet Airways,2019-03-06,Banglore,New Delhi,22:50:00,23:00:00,1450,1.0,No info,17471
Multiple Carriers,2019-05-09,Delhi,Cochin,08:45:00,19:15:00,630,1.0,No info,8266
Jet Airways,2019-03-27,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No info,5678
Jet Airways,2019-03-21,Banglore,New Delhi,05:45:00,00:45:00,1140,1.0,In-flight meal not included,7832
Jet Airways,2019-06-03,Delhi,Cochin,19:15:00,04:25:00,550,1.0,In-flight meal not included,10262
Multiple Carriers,2019-03-27,Delhi,Cochin,06:40:00,19:15:00,755,1.0,No info,9100
Indigo,2019-06-06,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No info,3943
Multiple Carriers,2019-06-24,Delhi,Cochin,09:15:00,19:00:00,585,1.0,No info,11622
Air India,2019-03-03,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No info,12646
Jet Airways,2019-06-01,Delhi,Cochin,02:15:00,04:25:00,1570,1.0,In-flight meal not included,10262
Multiple Carriers,2019-03-21,Delhi,Cochin,10:00:00,01:35:00,935,1.0,No info,8098
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,In-flight meal not included,6224
Indigo,2019-03-27,Delhi,Cochin,06:40:00,21:20:00,880,2.0,No info,6494
Jet Airways,2019-03-21,Delhi,Cochin,11:30:00,04:25:00,1015,1.0,In-flight meal not included,7438
Jet Airways,2019-05-15,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,4030
Air India,2019-06-09,Kolkata,Banglore,09:25:00,07:55:00,1350,1.0,No info,8366
Jet Airways,2019-03-21,Banglore,New Delhi,08:00:00,21:20:00,800,1.0,In-flight meal not included,7832
Indigo,2019-05-06,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No info,4804
Jet Airways,2019-06-12,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,10262
Air India,2019-03-01,Banglore,New Delhi,08:50:00,23:55:00,2345,2.0,No info,17135
Air India,2019-04-01,Kolkata,Banglore,17:30:00,12:00:00,1110,1.0,No info,7893
Air India,2019-05-15,Kolkata,Banglore,09:25:00,18:30:00,545,1.0,No info,8891
Jet Airways,2019-06-27,Delhi,Cochin,13:25:00,19:00:00,1775,2.0,No info,15339
Multiple Carriers,2019-06-03,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No info,7198
Indigo,2019-05-03,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No info,4804
Multiple Carriers,2019-06-09,Delhi,Cochin,03:50:00,19:00:00,910,1.0,No info,12192
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,07:40:00,525,1.0,No info,13817
Jet Airways,2019-05-21,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,4030
Jet Airways,2019-03-27,Delhi,Cochin,06:20:00,18:50:00,750,2.0,No info,11538
Air India,2019-06-27,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No info,6961
Jet Airways,2019-05-21,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No info,16079
Vistara,2019-03-09,Banglore,New Delhi,19:40:00,22:20:00,160,0.0,No info,8290
Jet Airways,2019-03-18,Banglore,New Delhi,11:40:00,10:25:00,1365,1.0,In-flight meal not included,11087
Indigo,2019-03-21,Banglore,New Delhi,06:00:00,08:45:00,165,0.0,No info,5734
Indigo,2019-06-06,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No info,4823
Spicejet,2019-06-27,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-05-18,Delhi,Cochin,18:15:00,12:35:00,1100,1.0,In-flight meal not included,12373
Air India,2019-05-24,Mumbai,Hyderabad,15:00:00,16:25:00,85,0.0,No info,3100
Jet Airways,2019-03-12,Banglore,New Delhi,08:55:00,21:20:00,745,1.0,No info,13817
Indigo,2019-03-06,Delhi,Cochin,02:35:00,08:30:00,355,1.0,No info,13790
Air India,2019-05-06,Kolkata,Banglore,09:25:00,01:20:00,955,2.0,No info,11458
Indigo,2019-05-18,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No info,4823
Air India,2019-04-09,Delhi,Cochin,13:05:00,07:40:00,1115,2.0,No info,8577
Spicejet,2019-03-09,Kolkata,Banglore,06:55:00,09:35:00,160,0.0,No info,4622
Vistara,2019-06-09,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No info,6216
Jet Airways,2019-03-21,Banglore,New Delhi,14:05:00,19:10:00,305,1.0,In-flight meal not included,7832
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,23:35:00,1630,1.0,No info,14151
Jet Airways,2019-03-09,Mumbai,Hyderabad,19:40:00,21:10:00,90,0.0,In-flight meal not included,4050
Vistara,2019-03-27,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No info,3739
