airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Air Asia,2019-05-03,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No info,4409
Jet Airways,2019-06-03,Delhi,Cochin,09:35:00,12:35:00,1620,2.0,In-flight meal not included,11507
Jet Airways,2019-06-06,Delhi,Cochin,20:55:00,19:00:00,1325,1.0,No info,14714
Air India,2019-05-21,Kolkata,Banglore,09:25:00,05:25:00,1200,2.0,No info,14687
Air India,2019-04-09,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No info,4441
Spicejet,2019-05-01,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,2385
Jet Airways,2019-06-03,Delhi,Cochin,20:55:00,04:25:00,450,1.0,No info,14714
Indigo,2019-05-15,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No info,4804
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,19:45:00,1475,2.0,In-flight meal not included,6643
Air Asia,2019-05-21,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No info,3383
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,22:35:00,850,1.0,In-flight meal not included,7064
Jet Airways,2019-06-09,Delhi,Cochin,17:30:00,12:35:00,1145,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-27,Delhi,Cochin,08:45:00,19:15:00,630,1.0,No info,8266
Indigo,2019-06-24,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No info,5054
Multiple Carriers,2019-05-18,Delhi,Cochin,07:05:00,19:15:00,730,1.0,No info,14533
Jet Airways,2019-06-12,Kolkata,Banglore,06:30:00,04:40:00,1330,1.0,In-flight meal not included,7594
Air India,2019-03-03,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No info,22096
Multiple Carriers,2019-06-01,Delhi,Cochin,08:45:00,19:00:00,615,1.0,No info,12524
Air India,2019-03-03,Banglore,New Delhi,13:20:00,16:10:00,170,0.0,No info,12841
Jet Airways,2019-06-15,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No info,8016
Indigo,2019-03-03,Delhi,Cochin,05:35:00,10:10:00,275,1.0,No info,13753
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,23:35:00,840,1.0,No info,14151
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,12:00:00,1025,1.0,In-flight meal not included,8529
Multiple Carriers,2019-05-27,Delhi,Cochin,13:15:00,22:30:00,555,1.0,No info,9646
Jet Airways,2019-06-15,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,7229
Goair,2019-03-06,Delhi,Cochin,14:10:00,19:20:00,310,1.0,No info,19495
Jet Airways,2019-03-21,Delhi,Cochin,17:30:00,18:50:00,1520,1.0,In-flight meal not included,5963
Air India,2019-03-18,Banglore,New Delhi,06:45:00,16:30:00,2025,2.0,No info,10835
Indigo,2019-03-06,Delhi,Cochin,11:30:00,21:00:00,570,1.0,No info,14871
Spicejet,2019-05-09,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,2175
Air India,2019-05-01,Kolkata,Banglore,09:50:00,23:15:00,805,2.0,No info,13227
Multiple Carriers,2019-03-27,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No info,9100
Jet Airways,2019-06-03,Delhi,Cochin,20:55:00,12:35:00,940,1.0,In-flight meal not included,10262
Air India,2019-03-03,Banglore,New Delhi,10:30:00,11:20:00,1490,1.0,No info,11003
Air India,2019-06-09,Kolkata,Banglore,16:45:00,21:05:00,1700,1.0,No info,7662
Indigo,2019-03-27,Delhi,Cochin,04:45:00,15:30:00,645,1.0,No info,7048
Indigo,2019-04-09,Kolkata,Banglore,15:15:00,20:05:00,290,1.0,No info,4268
Indigo,2019-05-15,Kolkata,Banglore,07:10:00,12:40:00,330,1.0,No info,4864
Multiple Carriers,2019-06-15,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No info,7408
Vistara,2019-05-24,Kolkata,Banglore,20:20:00,23:25:00,1625,1.0,No info,9345
Indigo,2019-06-06,Delhi,Cochin,06:50:00,22:30:00,940,1.0,No info,6674
Air India,2019-03-06,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No info,7931
Jet Airways,2019-05-09,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No info,15554
Air India,2019-05-12,Kolkata,Banglore,10:00:00,01:20:00,920,2.0,No info,12140
Spicejet,2019-04-12,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,4885
Jet Airways,2019-06-06,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,No info,13014
Air India,2019-04-06,Delhi,Cochin,06:05:00,09:25:00,1640,1.0,No info,4487
Vistara,2019-05-12,Kolkata,Banglore,17:00:00,09:05:00,965,1.0,No info,9922
Vistara,2019-05-18,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No info,4878
Jet Airways,2019-05-09,Kolkata,Banglore,08:25:00,04:40:00,1215,1.0,In-flight meal not included,8586
Jet Airways,2019-06-01,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,3210
Air India,2019-05-06,Kolkata,Banglore,19:00:00,09:50:00,890,1.0,No info,6117
Multiple Carriers,2019-03-06,Delhi,Cochin,06:00:00,19:15:00,795,1.0,No info,15353
Multiple Carriers,2019-03-21,Delhi,Cochin,13:15:00,21:20:00,485,2.0,No info,6653
Multiple Carriers,2019-06-12,Delhi,Cochin,17:50:00,01:30:00,460,2.0,No info,18275
Air India,2019-06-03,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No info,6934
Air Asia,2019-04-15,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No info,4409
Indigo,2019-04-15,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No info,4423
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,10:25:00,1365,1.0,No info,17261
Jet Airways,2019-06-27,Delhi,Cochin,19:10:00,12:35:00,1045,2.0,No info,12819
Multiple Carriers,2019-06-15,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No info,7198
Air India,2019-05-18,Delhi,Cochin,03:50:00,19:15:00,925,1.0,No info,8879
Spicejet,2019-04-03,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No info,3873
Air India,2019-05-09,Delhi,Cochin,13:20:00,07:40:00,1100,2.0,No info,13538
Jet Airways,2019-06-03,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No info,8016
Multiple Carriers,2019-05-27,Delhi,Cochin,11:40:00,19:15:00,455,1.0,No info,9316
Air India,2019-06-15,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No info,6961
Air India,2019-05-24,Kolkata,Banglore,09:50:00,21:05:00,675,1.0,No info,7662
Air India,2019-06-09,Mumbai,Hyderabad,15:00:00,16:25:00,85,0.0,No info,3100
Jet Airways,2019-06-06,Delhi,Cochin,17:30:00,19:00:00,1530,1.0,In-flight meal not included,10262
Jet Airways,2019-05-06,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,No info,14388
Multiple Carriers,2019-05-18,Delhi,Cochin,17:00:00,01:30:00,510,1.0,No info,8283
Jet Airways,2019-03-21,Delhi,Cochin,05:30:00,18:50:00,2240,2.0,In-flight meal not included,9328
Jet Airways,2019-06-27,Delhi,Cochin,12:15:00,19:00:00,1845,2.0,No info,14300
Vistara,2019-04-09,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No info,5403
Jet Airways,2019-06-06,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,In-flight meal not included,6812
Indigo,2019-05-09,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No info,4784
Air India,2019-04-01,Kolkata,Banglore,10:00:00,05:25:00,1165,2.0,No info,12639
Indigo,2019-06-01,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No info,10112
Air India,2019-03-24,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No info,2575
Vistara,2019-03-03,Banglore,New Delhi,21:10:00,00:05:00,175,0.0,No info,7608
Jet Airways,2019-04-18,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No info,7229
Jet Airways,2019-03-21,Delhi,Cochin,10:45:00,18:50:00,1925,2.0,No info,11093
Jet Airways,2019-05-15,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,No info,14388
Jet Airways,2019-05-24,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,No info,14571
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,18:10:00,1260,1.0,No info,13759
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,No info,14571
Multiple Carriers,2019-06-12,Delhi,Cochin,10:20:00,19:00:00,520,1.0,No info,11789
Indigo,2019-03-03,Mumbai,Hyderabad,02:30:00,04:00:00,90,0.0,No info,4575
Goair,2019-06-27,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No info,4525
Air India,2019-03-12,Mumbai,Hyderabad,05:55:00,20:35:00,880,1.0,No info,6901
Spicejet,2019-04-21,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,4807
Multiple Carriers,2019-05-15,Delhi,Cochin,06:40:00,19:15:00,755,1.0,No info,7787
Spicejet,2019-03-03,Banglore,New Delhi,15:35:00,23:40:00,485,1.0,No info,6315
Air Asia,2019-05-18,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,No info,6857
Spicejet,2019-06-12,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No info,4423
Air Asia,2019-04-18,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No info,4409
Jet Airways,2019-06-24,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,10368
Multiple Carriers,2019-05-21,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No info,14848
Air India,2019-05-15,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No info,5228
Air India,2019-06-03,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No info,10979
Multiple Carriers,2019-06-15,Delhi,Cochin,07:05:00,22:30:00,925,1.0,No info,9646
Air India,2019-03-01,Banglore,New Delhi,09:30:00,23:45:00,855,1.0,No info,12704
Spicejet,2019-03-09,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No info,4622
Jet Airways,2019-05-21,Delhi,Cochin,07:05:00,12:35:00,330,1.0,No info,16289
Spicejet,2019-05-01,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No info,3873
Jet Airways,2019-06-12,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,No info,12692
Spicejet,2019-03-21,Mumbai,Hyderabad,22:45:00,00:10:00,85,0.0,No info,1759
Indigo,2019-04-15,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No info,4174
Vistara,2019-05-15,Kolkata,Banglore,20:20:00,10:45:00,865,1.0,No info,8452
Indigo,2019-05-09,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No info,4392
Multiple Carriers,2019-05-21,Delhi,Cochin,07:05:00,18:10:00,665,1.0,No info,9646
Indigo,2019-06-09,Delhi,Cochin,17:05:00,22:15:00,310,1.0,No info,6493
Jet Airways,2019-06-12,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4995
Air India,2019-05-21,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No info,9443
Air Asia,2019-05-21,Kolkata,Banglore,15:10:00,23:30:00,500,2.0,No info,5192
Multiple Carriers,2019-06-09,Delhi,Cochin,12:50:00,01:30:00,760,1.0,No info,6795
Air India,2019-06-09,Kolkata,Banglore,12:00:00,18:30:00,1830,2.0,No info,10151
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,In-flight meal not included,11841
Indigo,2019-05-01,Kolkata,Banglore,09:20:00,14:15:00,295,1.0,No info,8443
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,No info,13941
Indigo,2019-04-09,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No info,6573
Jet Airways,2019-03-12,Banglore,New Delhi,05:45:00,20:20:00,875,1.0,No info,13817
Multiple Carriers,2019-05-18,Delhi,Cochin,06:00:00,12:35:00,395,1.0,No info,9794
Multiple Carriers,2019-03-27,Delhi,Cochin,18:15:00,01:35:00,440,1.0,No info,12327
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,In-flight meal not included,8586
Goair,2019-06-06,Delhi,Cochin,14:25:00,19:35:00,310,1.0,No info,7870
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,09:20:00,865,1.0,No info,14388
Jet Airways,2019-06-06,Delhi,Cochin,19:15:00,04:25:00,550,1.0,No info,14714
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,09:45:00,1450,1.0,No info,14151
Jet Airways,2019-04-01,Kolkata,Banglore,21:10:00,08:15:00,665,1.0,In-flight meal not included,8849
Jet Airways,2019-03-21,Delhi,Cochin,19:10:00,18:50:00,1420,2.0,In-flight meal not included,6643
Jet Airways,2019-03-06,Banglore,New Delhi,05:45:00,19:10:00,805,1.0,No info,16736
Indigo,2019-06-15,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No info,3597
Jet Airways,2019-05-12,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,3502
Air India,2019-04-12,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No info,5911
Jet Airways,2019-06-09,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,7229
Air India,2019-05-01,Kolkata,Banglore,09:25:00,07:55:00,1350,1.0,No info,8366
Jet Airways,2019-06-01,Delhi,Cochin,21:25:00,12:35:00,910,2.0,No info,13292
Vistara,2019-05-21,Kolkata,Banglore,20:20:00,23:25:00,1625,1.0,No info,9345
Spicejet,2019-03-09,Banglore,New Delhi,09:35:00,12:30:00,175,0.0,No info,6205
Air India,2019-03-21,Delhi,Cochin,23:00:00,19:15:00,1215,1.0,No info,6745
Air India,2019-06-09,Delhi,Cochin,05:15:00,06:50:00,1535,1.0,No info,6587
Jet Airways,2019-06-27,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,No info,13764
Air India,2019-05-24,Delhi,Cochin,23:00:00,19:15:00,1215,1.0,No info,8582
Indigo,2019-05-27,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No info,3597
Air India,2019-06-24,Delhi,Cochin,10:55:00,07:40:00,1245,2.0,No info,11753
Goair,2019-05-24,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No info,3419
Indigo,2019-05-15,Delhi,Cochin,08:30:00,21:00:00,750,1.0,No info,7503
Air India,2019-05-15,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No info,6094
Air India,2019-04-06,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No info,5176
Indigo,2019-06-01,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No info,3943
Jet Airways,2019-03-21,Delhi,Cochin,18:25:00,04:25:00,2040,2.0,No info,12347
Multiple Carriers,2019-06-12,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No info,7198
Spicejet,2019-06-06,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No info,5264
Multiple Carriers,2019-06-12,Delhi,Cochin,08:30:00,19:15:00,645,1.0,No info,7354
Air India,2019-05-06,Kolkata,Banglore,09:50:00,21:05:00,675,1.0,No info,7452
Indigo,2019-04-24,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No info,4804
Air India,2019-06-06,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No info,8372
Jet Airways,2019-05-18,Delhi,Cochin,14:00:00,12:35:00,1355,1.0,In-flight meal not included,12373
Indigo,2019-06-15,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No info,10112
Multiple Carriers,2019-06-15,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No info,6795
Vistara,2019-05-24,Kolkata,Banglore,07:10:00,20:20:00,790,1.0,No info,9555
Goair,2019-06-12,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No info,3419
Indigo,2019-03-03,Banglore,New Delhi,04:00:00,06:50:00,170,0.0,No info,6144
Indigo,2019-04-09,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No info,4591
Air India,2019-06-18,Banglore,Delhi,17:00:00,19:50:00,170,0.0,No info,6961
Indigo,2019-05-15,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No info,4575
Air India,2019-06-12,Kolkata,Banglore,09:25:00,18:30:00,545,1.0,No info,8366
Indigo,2019-05-15,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No info,4823
Indigo,2019-06-24,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No info,4804
Air India,2019-06-12,Kolkata,Banglore,12:00:00,11:10:00,1390,2.0,No info,9416
Jet Airways,2019-03-18,Banglore,New Delhi,22:50:00,09:00:00,610,1.0,No info,13555
Air India,2019-03-18,Banglore,New Delhi,08:50:00,16:30:00,1900,2.0,No info,10835
Indigo,2019-05-06,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No info,3597
Indigo,2019-05-06,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,No info,3809
Indigo,2019-05-18,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No info,4804
Indigo,2019-03-15,Mumbai,Hyderabad,12:00:00,13:25:00,85,0.0,No info,3175
Indigo,2019-03-03,Banglore,New Delhi,18:55:00,21:45:00,170,0.0,No info,8855
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,In-flight meal not included,10844
Jet Airways,2019-06-24,Delhi,Cochin,05:30:00,12:35:00,425,2.0,No info,14441
Air India,2019-05-18,Kolkata,Banglore,07:00:00,01:20:00,1100,2.0,No info,13243
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,19:10:00,1365,1.0,No info,14151
Jet Airways,2019-05-06,Kolkata,Banglore,06:30:00,10:05:00,1655,1.0,No info,13941
Indigo,2019-04-24,Kolkata,Banglore,15:15:00,20:05:00,290,1.0,No info,4565
Indigo,2019-03-21,Delhi,Cochin,11:30:00,01:35:00,845,1.0,No info,7318
Indigo,2019-05-01,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No info,4804
Multiple Carriers,2019-03-21,Delhi,Cochin,02:15:00,13:20:00,665,1.0,No info,13961
Multiple Carriers,2019-03-27,Delhi,Cochin,08:00:00,18:50:00,650,1.0,No info,11667
Indigo,2019-06-03,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No info,3943
Jet Airways,2019-06-06,Delhi,Cochin,21:25:00,19:00:00,1295,2.0,No info,13292
Indigo,2019-06-18,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No info,4804
Spicejet,2019-05-06,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3573
Air India,2019-05-21,Kolkata,Banglore,17:30:00,08:55:00,925,1.0,No info,11936
Goair,2019-06-06,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No info,4959
Jet Airways,2019-06-15,Delhi,Cochin,07:05:00,12:35:00,330,1.0,No info,14714
Jet Airways,2019-05-18,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No info,15129
Air India,2019-06-12,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No info,8372
Jet Airways,2019-05-21,Delhi,Cochin,21:50:00,19:00:00,1270,1.0,In-flight meal not included,12898
Indigo,2019-05-18,Delhi,Cochin,06:50:00,22:30:00,940,1.0,No info,7144
Spicejet,2019-03-27,Mumbai,Hyderabad,05:45:00,07:05:00,80,0.0,No info,1759
Air India,2019-05-15,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No info,3100
Indigo,2019-05-03,Banglore,Delhi,00:30:00,03:25:00,175,0.0,No info,3943
Jet Airways,2019-06-18,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No info,5678
Jet Airways,2019-05-12,Kolkata,Banglore,17:00:00,22:05:00,1745,1.0,No info,13067
Jet Airways,2019-06-15,Delhi,Cochin,18:20:00,12:35:00,1095,2.0,No info,14300
Air India,2019-05-21,Delhi,Cochin,09:45:00,09:25:00,1420,2.0,No info,10975
Air Asia,2019-03-12,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No info,4082
Jet Airways,2019-06-15,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No info,14714
Indigo,2019-03-21,Delhi,Cochin,02:35:00,08:30:00,355,1.0,No info,8470
Indigo,2019-06-15,Delhi,Cochin,14:20:00,22:30:00,490,1.0,No info,6412
Jet Airways,2019-06-06,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,No info,14571
Jet Airways,2019-05-12,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,No info,13941
Jet Airways,2019-05-24,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,4030
Indigo,2019-06-24,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No info,4804
Air India,2019-03-24,Mumbai,Hyderabad,15:00:00,16:25:00,85,0.0,No info,2050
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,18:15:00,1400,1.0,In-flight meal not included,7064
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,19:50:00,800,1.0,No info,14571
